Site,Category,Google hits,FB likes,Twitter,political alignment
Liberal America,clickbait  ,"456,000.00","694,190","8,526",left
Liberals Unite (Samuel Warde),clickbait  ,"482,000.00","200,343","1,710",left
Liberty Alliance,clickbait  ,"356,000.00","72,141","3,596",right
Liberty News,conspiracy  ,"279,000.00","1,429,985","7,205",Unknow
Liberty Unyielding,clickbait  ,"129,000.00","92,500","1,882",right
Liberty Videos,conspiracy  ,"20,600.00",0,"1,226",Unknow
Liberty Writers News,clickbait  ,"42,200.00","832,462","41,300",right
LibertyTalk.FM,clickbait  ,"36,800.00","10,152",195,right
LifeZette,clickbait  ,"729,000.00","668,892","20,200",right
Live Free Live Natural,junk science,"31,500.00","37,325",0,right
LMR/LibertyMovementRadio,,"5,370.00","2,457",0,right
Manchester Union Leader,clickbait  ,"46,600.00","14,341","39,700",right
Media Matters,clickbait  ,"1,420,000.00","665,434","245,000",left
Media Research Center,clickbait  ,"458,000.00","1,562,273","150,000",right
Media Zone,clickbait  ,"1,070,000.00","3,046","7,865",right
Mediaite,clickbait  ,"1,550,000.00","225,217","123,000",left
MediaMass,celebrity,"685,000.00","36,000",0,none
Mercola,junk science,"4,500,000.00","1,482,835","248,000",Unknow
Modern Liberals,clickbait  ,"96,300.00","54,511",97,left
Molon Labe Media,clickbait  ,"9,250.00","11,839",193,right
Morning Ledger,conspiracy  ,"258,000.00","34,303",57,Unknow
Morning News USA,clickbait  ,"244,000.00","8,774","5,703",unknown
Move On,clickbait  ,"25,100,000.00","1,013,838","191,155",left
MyZoneToday,clickbait  ,"3,560.00",0,0,right
NahaDaily,satire ,"7,090.00","2,371",0,Unknow
Nation of Change,clickbait  ,"352,000.00","102,838","11,300",left
National Policy Institute,clickbait  ,"244,000.00","3,798",0,right
National Report,satire ,"1,500,000.00","28,014","4,139",centrist
National Review,clickbait  ,"3,750,000.00","1,034,538","205,000",right
National Rifle Association (NRA),clickbait  ,"2,170,000.00","5,087,364","413,000",right
Natural Cures Not Medicine,junk science,"662,000.00","2,060,645",0,right
NaturalNews.com,junk science,"2,400,000.00","2,046,926","109,000",right
NC Scooper,satire ,"16,100.00","41,312","3,417",none
NCT (New Century Times),clickbait  ,"37,200.00","1,176,345","14,800",right
Nevo News,clickbait  ,"2,340,000.00","145,100",38,right
New Left Review,clickbait  ,"486,000.00","47,105","24,300",left
New Republic,clickbait  ,"5,480,000.00","156,870","150,000",left
News Corpse,clickbait  ,"2,649,301.00","17,163","1,746",left
News Examiner,clickbait  ,"128,000.00",344,9,centrist
News With Views,clickbait  ,"137,000.00","3,280",619,right
News10Live,fake news,"77,700.00","2,585","149,000",unknown
NewsBiscuit,satire ,"49,600.00","9,112","12,700",centrist
Newsbusters,clickbait  ,"1,260,000.00","2,649,301","162,000",right
NewsBuzzDaily,satire ,"2,530.00","4,677",175,Unknow
NewsHounds,clickbait  ,"254,000.00","2,955","2,300",left
Newslo ,satire ,"373,000.00","180,128","19,700",none
Newsmax,clickbait  ,"10,700,000.00","1,158,815","64,100",right
NewsMutiny,satire ,"6,730.00",0,0,left
NewsWatch33 (formerly Newswatch28),clickbait  ,"149,000.00","460,660",0,left
Next News Network,clickbait  ,"352,000.00","10,387","5,284",right
NoDisInfo,conspiracy  ,"47,600.00",249,"1,335",Unknow
Nos Comunicamos,clickbait  ,"1,550,000.00","16,514",783,right
Now8News,fake news,"81,900.00",0,"159,000",none
NowTheEndBegins,satire ,"180,000.00","143,782","12,100",right
NowThis News,clickbait  ,"411,000.00","8,540,725","451,000",left
